"","Địa chỉ","Quận","Huyện","Loại hình nhà ở","Giấy tờ pháp lý","Số tầng","Số phòng ngủ","Diện tích","Dài","Rộng","Giá/m2"
"2413","31, Đường Yên Hòa, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà ngõ, hẻm","Đã có sổ","5","4",35,7,5,120.59
"2414","Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","3","3",52,13,4,46.15
"2415","Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ","5","3",24,8,3,46
"2416","Đường Phú Lương, Phường Phú Lương, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lương","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",48,12,4,111.46
"2417","Đường Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Thượng","Nhà ngõ, hẻm","Đã có sổ","5","3",31.8,6,5.3,103.13
"2420","Yên Hòa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","4",48,12,4,29.17
"2421","Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Giảng Võ","Nhà ngõ, hẻm","Đã có sổ","4","3",30.1,7,4.3,178.13
"2422","Đường Lê Trọng Tấn||1804, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","4","3",31.8,5.3,6,66.06
"2423","Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Lâm","Nhà ngõ, hẻm","Đã có sổ","2","4",72,18,4,54.17
"2424","Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Ngọc Hà","Nhà ngõ, hẻm","Đã có sổ","5","6",48.1,13,3.7,97.92
"2426","Quang Lãm, Phường Phú Lãm, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lãm","Nhà ngõ, hẻm","Đã có sổ","4","3",36,9,4,47.81
"2427","Đường Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Phúc Xá","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,110.59
"2428","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Nhà ngõ, hẻm","Đã có sổ","3","3",36,4,9,61.43
"2429","Đường Huyền Kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lãm","Nhà ngõ, hẻm","Đã có sổ","5","4",36.1,9.5,3.8,54.69
"2430","Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Giáp Bát","Nhà ngõ, hẻm","Đã có sổ","5","3",16,4,4,66.67
"2431","Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","3","3",34,10,3.4,41.18
"2432","Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ","3","3",30,10,3,84.85
"2433","Đường Thạch Bàn, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",35,7,5,60
"2434","Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Đại Mỗ","Nhà ngõ, hẻm","Đã có sổ","4","4",40,10,4,81.94
"2435","Đường 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Quỳnh Mai","Nhà mặt phố, mặt tiền","Đã có sổ","3","2",20,5,4,110
"2437","Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Cổ Nhuế 1","Nhà ngõ, hẻm","Đã có sổ","5","4",51.3,13.5,3.8,90.2
"2438","67 Đường Lạc Hồng, Đường Lạc Hồng, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà mặt phố, mặt tiền","Giấy tờ khác","3","3",40.56,7.8,5.2,53.49
"2439","Đường Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ","4","4",72.5,14.5,5,100
"2440","98, Đường Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà ngõ, hẻm","Đã có sổ","5","3",32,8,4,74.24
"2441","Đường Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ","4","4",50,12.5,4,115
"2442","Đường Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Cống Vị","Nhà mặt phố, mặt tiền","Đã có sổ","6","4",37.8,9,4.2,250
"2443","Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà mặt phố, mặt tiền","Đã có sổ","4","5",50.4,12,4.2,140
"2444","Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","4","4",40,8,5,67.44
"2445","Phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Bưởi","Nhà ngõ, hẻm","Đã có sổ","5","4",45,9,5,139.53
"2446","Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà mặt phố, mặt tiền","Đã có sổ","4","5",48.3,11.5,4.2,147.83
"2447","Đường Đền Lừ 1, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà ngõ, hẻm","Đã có sổ","5","5",50.4,10.5,4.8,60
"2448","Trần Nguyên Đán, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà phố liền kề","Đã có sổ","5","5",75.9,16.5,4.6,118.29
"2449","Đường Xa La||1920, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",38,10,3.8,60
"2450","Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà ngõ, hẻm","Đã có sổ","5","4",32,8,4,59.38
"2452","354, Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Khương Thượng","Nhà ngõ, hẻm","Đã có sổ","4","5",32,8,4,75
"2453","Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Nhà ngõ, hẻm","Đã có sổ","5","5",52,13,4,130.77
"2454","Đường Tôn Đức Thắng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Thịnh Quang","Nhà ngõ, hẻm","Đã có sổ","3","2",42,14,3,92.68
"2455","19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","4","3",35,10,3.5,71.43
"2456","Đường La Nội||1797, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","3",36,9,4,53.82
"2457","Đường Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","4",37,9.25,4,63.55
"2458","Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà ngõ, hẻm","Đã có sổ","5","3",30,6,5,120
"2459","Đường Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà ngõ, hẻm","Đã có sổ","5","6",55,10,5.5,118.18
"2460","Đường quang trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","3",34.65,9,3.85,51.52
"2461","Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Phúc Tân","Nhà ngõ, hẻm","Đã có sổ","4","3",36,12,3,44.44
"2462","Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","3",32,8,4,50
"2463","Đường Miêu Nha||2286, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Nhà ngõ, hẻm","Đã có sổ","3","3",37.8,10.8,3.5,54.17
"2464","69a, hoàng văn thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà ngõ, hẻm","Đã có sổ","4","3",40,8,5,88.16
"2465","Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","4","4",36,10,3.6,75
"2466","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Phúc Lợi","Nhà mặt phố, mặt tiền","Đã có sổ","3","3",48,8,6,48.75
"2467","Đường Nguyễn Khánh Toàn, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà ngõ, hẻm","Đã có sổ","5","4",50.4,12,4.2,124
"2468","Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà ngõ, hẻm","Đã có sổ","6","6",80,8,10,162.5
"2469","197, thuỵ phương, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Thụy Phương","Nhà ngõ, hẻm","Đã có sổ","5","4",32,8,4,66.67
"2470","Nguyễn Viết  Xuân, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà mặt phố, mặt tiền","Đã có sổ","4","5",48.3,11.5,4.2,145.83
"2471","Lê Quang Đạo, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Mỹ Đình 1","Nhà ngõ, hẻm","Đã có sổ","5","6",42,10,4.2,66.43
"2472","69A, Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",44,11,4,112.79
"2473","Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Phú Đô","Nhà ngõ, hẻm","Đã có sổ","5","6",45,10,4.5,62.22
"2476","Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Đại Kim","Nhà mặt phố, mặt tiền","Đã có sổ","5","6",60,15,4,99.17
"2477","Đường Giảng Võ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ","5","5",30,10,3,80
"2478","Lê Trọng tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,54.29
"2480","Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",40,10,4,92.25
"2481","Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà ngõ, hẻm","Đã có sổ","5","4",45,9,5,86.67
"2483","Đường 70, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Nhà ngõ, hẻm","Đã có sổ","3","3",36.75,10.5,3.5,54.17
"2484","Đường Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Hạ Đình","Nhà ngõ, hẻm","Đã có sổ","5","4",38.4,12,3.2,96.25
"2485","Đường Hoàng Hoa Thám, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà ngõ, hẻm","Đã có sổ","4","4",40,10,4,77.5
"2486","Đường Âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Nhật Tân","Nhà mặt phố, mặt tiền","Đã có sổ","4","3",75,10,7.5,100
"2487","Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","3","5",29.75,8.5,3.5,55.33
"2488","Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà mặt phố, mặt tiền","Đã có sổ","6","4",40,8,5,120
"2489","Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Giáp Bát","Nhà ngõ, hẻm","Đã có sổ","5","4",54,12,4.5,101.85
"2490","Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Nhà ngõ, hẻm","Đã có sổ","6","5",40,10,4,207.5
"2491","Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ","4","2",33,11,3,67.35
"2492","Đường Ngọc Lâm||1281, Phường Ngọc Lâm, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Lâm","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",36,10,3.6,88.89
"2493","Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Trần Hưng Đạo","Nhà ngõ, hẻm","Đã có sổ","6","5",49.5,9,5.5,283.33
"2494","Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ","5","4",35,7,5,84.29
"2495","Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Kim Mã","Nhà ngõ, hẻm","Đã có sổ","5","3",25.8,6,4.3,98.08
"2496","Đường Vũ Tông Phan, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Nam","Nhà mặt phố, mặt tiền","Đã có sổ","1","1",68,17,4,168.12
"2497","Đường Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ","5","5",33,10,3.3,92.86
"2498","Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Thượng","Nhà mặt phố, mặt tiền","Đã có sổ","4","2",45,10,4.5,177.78
"2499","Đường Vân Hồ I, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Lê Đại Hành","Nhà ngõ, hẻm","Đã có sổ","3","3",49.5,11,4.5,163.79
"2500","Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","5","3",35.2,6.4,5.5,76.39
"2501","Đường Ngọc Trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Đại Mỗ","Nhà ngõ, hẻm","Đã có sổ","1","3",35.2,8.8,4,38.06
"2502","Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ","4","3",16,4,4,67.5
"2503","Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Xuân Đỉnh","Nhà mặt phố, mặt tiền","Đã có sổ","3","3",61.2,15.3,4,71.31
"2504","Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Quảng An","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",57.5,11.5,5,196.43
"2505","203, Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà mặt phố, mặt tiền","Đã có sổ","5","2",42,7,6,71.43
"2506","Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà ngõ, hẻm","Đã có sổ","5","5",38,10,3.8,84.62
"2507","Ngô Gia Tự, Phường Việt Hưng, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Việt Hưng","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",60,15,4,98.33
"2508","Đường Mậu Lương, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","5","4",31.5,9,3.5,70
"2509","Đường Mai Dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà phố liền kề","Đã có sổ","3","4",105,15,7,109.63
"2511","Đường Quang Lãm, Phường Phú Lương, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lương","Nhà ngõ, hẻm","Đã có sổ","4","3",30,10,3,45
"2512","Đường Quang Trung, Phường Yết Kiêu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yết Kiêu","Nhà ngõ, hẻm","Đã có sổ","5","4",36,9,4,98.65
"2513","Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",35,10,3.5,67.14
"2514","Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà ngõ, hẻm","Đã có sổ","4","3",36,9,4,108.57
"2515","Đường Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà ngõ, hẻm","Đã có sổ","4","4",36,6,6,120.61
"2516","Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ","5","3",36,8,4.5,88.57
"2517","12, Trương Công Đinh, Phường Yết Kiêu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yết Kiêu","Nhà mặt phố, mặt tiền","Đã có sổ","1","1",34.98,10.6,3.3,127.78
"2518","Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà mặt phố, mặt tiền","Đã có sổ","5","5",60,6,10,147.37
"2519","Đường Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng Hậu","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",60,12,5,183.33
"2520","Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ","5","6",32,8,4,98.44
"2521","Đường Phạm Tuấn Tài, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà mặt phố, mặt tiền","Đã có sổ","5","6",56,14,4,137.93
"2522","Đường Kim Mã, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ","4","4",36,6,6,112.86
"2523","Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng","Nhà ngõ, hẻm","Đã có sổ","5","4",48,12,4,125
"2524","Đường Thúy Lĩnh||1025, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ","2","2",60,12,5,50
"2525","A, Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ","4","3",20.13,6.1,3.3,70
"2526","12, Đường Xa La||1920, Phường Phúc La, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phúc La","Nhà ngõ, hẻm","Đã có sổ","2","2",29.24,8.6,3.4,67.31
"2527","Đường Thái Thịnh 1, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ","4","4",34,8.5,4,105.71
"2528","55, Đường Hoa Lâm, Phường Việt Hưng, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Việt Hưng","Nhà mặt phố, mặt tiền","Đã có sổ","5","7",60,15,4,102.59
"2530","Đường Pháo Đài Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ","5","10+",168,14,12,70.59
"2531","Đường Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Kim Liên","Nhà ngõ, hẻm","Đã có sổ","5","3",48,12,4,80
"2532","Đường Phạm Hùng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà ngõ, hẻm","Đã có sổ","8","10+",96,15,6.4,129.79
"2533","1, Đường Vũ Trọng Phụng, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Bắc","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",39.6,11,3.6,140.79
"2535","Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ","5","6",70,14,5,88.57
"2536","Đường Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Cát Linh","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",90,15,6,117.65
"2537","Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Lâm","Nhà ngõ, hẻm","Đã có sổ","4","5",37.8,6.3,6,86.84
"2538","99, Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Kim Mã","Nhà ngõ, hẻm","Đã có sổ","4","4",40,10,4,75
"2539","đường sông sét, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Thịnh Liệt","Nhà ngõ, hẻm","Đã có sổ","5","6",36.26,9.8,3.7,86.11
"2540","Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Đại Kim","Nhà ngõ, hẻm","Đã có sổ","4","4",157.5,45,3.5,78.89
"2541","Đường Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà ngõ, hẻm","Đã có sổ","5","4",41.4,9,4.6,114.47
"2542","Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ","4","4",36.3,11,3.3,82.86
"2543","Đường Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Xuân Đỉnh","Nhà ngõ, hẻm","Đã có sổ","6","4",36.9,8.2,4.5,86.49
"2544","Đường Trung Hòa, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà phố liền kề","Đã có sổ","6","6",129.36,19.6,6.6,226.92
"2545","Đường Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Bạch Mai","Nhà ngõ, hẻm","Đã có sổ","5","3",210,42,5,83.33
"2546","Đường Âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Nhật Tân","Nhà ngõ, hẻm","Đã có sổ","5","4",44,11,4,79.07
"2547","Đường Hoàng Ngọc Phách, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ","5","4",48,8,6,3.52
"2548","Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Lâm","Nhà ngõ, hẻm","Đã có sổ","4","4",33.6,5.6,6,92.65
"2549","Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà mặt phố, mặt tiền","Đã có sổ","6","4",33.6,8,4.2,333.33
"2550","Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Mộ Lao","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",60,12,5,106.67
"2551","Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","5","5",36.8,11.5,3.2,104.05
"2552","Đường Nguyễn Văn Trỗi, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Phương Liệt","Nhà ngõ, hẻm","Giấy tờ khác","4","4",38.5,11,3.5,128.57
"2553","111, Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Phương Liệt","Nhà mặt phố, mặt tiền","Đã có sổ","4","3",38.5,11,3.5,118.42
