"","Ngày","Địa chỉ","Quận","Huyện","Loại hình nhà ở","Giấy tờ pháp lý","Số tầng","Số phòng ngủ","Diện tích","Dài","Rộng","Giá/m2"
"2426",2021-06-05,"Quang Lãm, Phường Phú Lãm, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lãm","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","32 m²","9 m","4 m","47,81 triệu/m²"
"2427",2021-06-05,"Đường Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Phúc Xá","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","34 m²","9 m","4 m","110,59 triệu/m²"
"2428",2021-06-05,"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","35 m²","4 m","9 m","61,43 triệu/m²"
"2429",2021-06-05,"Đường Huyền Kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lãm","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","32 m²","9.5 m","3.8 m","54,69 triệu/m²"
"2430",2021-06-05,"Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Giáp Bát","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","45 m²","4 m","4 m","66,67 triệu/m²"
"2431",2021-06-05,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","34 m²","10 m","3.4 m","41,18 triệu/m²"
"2432",2021-06-05,"Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","33 m²","10 m","3 m","84,85 triệu/m²"
"2433",2021-06-05,"Đường Thạch Bàn, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","35 m²","7 m","5 m","60 triệu/m²"
"2434",2021-06-05,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Đại Mỗ","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","36 m²","10 m","4 m","81,94 triệu/m²"
"2435",2021-06-05,"Đường 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Quỳnh Mai","Nhà mặt phố, mặt tiền","Đã có sổ",3,"2 phòng","15 m²","5 m","4 m","110 triệu/m²"
"2437",2021-06-05,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Cổ Nhuế 1","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","51 m²","13.5 m","3.8 m","90,2 triệu/m²"
"2438",2021-06-05,"67 Đường Lạc Hồng, Đường Lạc Hồng, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà mặt phố, mặt tiền","Giấy tờ khác",3,"3 phòng","43 m²","7.8 m","5.2 m","53,49 triệu/m²"
"2439",2021-06-05,"Đường Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","72 m²","14.5 m","5 m","100 triệu/m²"
"2440",2021-06-05,"98, Đường Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","33 m²","8 m","4 m","74,24 triệu/m²"
"2441",2021-06-05,"Đường Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","50 m²","12.5 m","4 m","115 triệu/m²"
"2442",2021-06-05,"Đường Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Cống Vị","Nhà mặt phố, mặt tiền","Đã có sổ",6,"4 phòng","35 m²","9 m","4.2 m","250 triệu/m²"
"2443",2021-06-05,"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà mặt phố, mặt tiền","Đã có sổ",4,"5 phòng","50 m²","12 m","4.2 m","140 triệu/m²"
"2444",2021-06-05,"Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","43 m²","8 m","5 m","67,44 triệu/m²"
"2445",2021-06-05,"Phố Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Bưởi","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","43 m²","9 m","5 m","139,53 triệu/m²"
"2446",2021-06-05,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà mặt phố, mặt tiền","Đã có sổ",4,"5 phòng","46 m²","11.5 m","4.2 m","147,83 triệu/m²"
"2447",2021-06-05,"Đường Đền Lừ 1, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà ngõ, hẻm","Đã có sổ",5,"5 phòng","50 m²","10.5 m","4.8 m","60 triệu/m²"
"2448",2021-06-05,"Trần Nguyên Đán, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà phố liền kề","Đã có sổ",5,"5 phòng","76 m²","16.5 m","4.6 m","118,29 triệu/m²"
"2449",2021-06-05,"Đường Xa La||1920, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","38 m²","10 m","3.8 m","60 triệu/m²"
"2450",2021-06-05,"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","32 m²","8 m","4 m","59,38 triệu/m²"
"2452",2021-06-05,"354, Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Khương Thượng","Nhà ngõ, hẻm","Đã có sổ",4,"5 phòng","32 m²","8 m","4 m","75 triệu/m²"
"2453",2021-06-05,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Nhà ngõ, hẻm","Đã có sổ",5,"5 phòng","52 m²","13 m","4 m","130,77 triệu/m²"
"2454",2021-06-05,"Đường Tôn Đức Thắng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Thịnh Quang","Nhà ngõ, hẻm","Đã có sổ",3,"2 phòng","41 m²","14 m","3 m","92,68 triệu/m²"
"2455",2021-06-05,"19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","35 m²","10 m","3.5 m","71,43 triệu/m²"
"2456",2021-06-05,"Đường La Nội||1797, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","34 m²","9 m","4 m","53,82 triệu/m²"
"2457",2021-06-05,"Đường Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","31 m²","9.25 m","4 m","63,55 triệu/m²"
"2458",2021-06-05,"Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","30 m²","6 m","5 m","120 triệu/m²"
"2459",2021-06-05,"Đường Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà ngõ, hẻm","Đã có sổ",5,"6 phòng","55 m²","10 m","5.5 m","118,18 triệu/m²"
"2460",2021-06-05,"Đường quang trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","33 m²","9 m","3.85 m","51,52 triệu/m²"
"2461",2021-06-05,"Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Phúc Tân","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","36 m²","12 m","3 m","44,44 triệu/m²"
"2462",2021-06-05,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","32 m²","8 m","4 m","50 triệu/m²"
"2463",2021-06-05,"Đường Miêu Nha||2286, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","36 m²","10.8 m","3.5 m","54,17 triệu/m²"
"2464",2021-06-05,"69a, hoàng văn thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","38 m²","8 m","5 m","88,16 triệu/m²"
"2465",2021-06-05,"Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","36 m²","10 m","3.6 m","75 triệu/m²"
"2466",2021-06-05,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Phúc Lợi","Nhà mặt phố, mặt tiền","Đã có sổ",3,"3 phòng","40 m²","8 m","6 m","48,75 triệu/m²"
"2467",2021-06-05,"Đường Nguyễn Khánh Toàn, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","50 m²","12 m","4.2 m","124 triệu/m²"
"2468",2021-06-05,"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà ngõ, hẻm","Đã có sổ",6,"6 phòng","80 m²","8 m","10 m","162,5 triệu/m²"
"2469",2021-06-05,"197, thuỵ phương, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Thụy Phương","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","33 m²","8 m","4 m","66,67 triệu/m²"
"2470",2021-06-05,"Nguyễn Viết  Xuân, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà mặt phố, mặt tiền","Đã có sổ",4,"5 phòng","48 m²","11.5 m","4.2 m","145,83 triệu/m²"
"2471",2021-06-05,"Lê Quang Đạo, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Mỹ Đình 1","Nhà ngõ, hẻm","Đã có sổ",5,"6 phòng","42 m²","10 m","4.2 m","66,43 triệu/m²"
"2472",2021-06-05,"69A, Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","43 m²","11 m","4 m","112,79 triệu/m²"
"2473",2021-06-05,"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Phú Đô","Nhà ngõ, hẻm","Đã có sổ",5,"6 phòng","45 m²","10 m","4.5 m","62,22 triệu/m²"
"2476",2021-06-05,"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Đại Kim","Nhà mặt phố, mặt tiền","Đã có sổ",5,"6 phòng","60 m²","15 m","4 m","99,17 triệu/m²"
"2477",2021-06-05,"Đường Giảng Võ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ",5,"5 phòng","30 m²","10 m","3 m","80 triệu/m²"
"2478",2021-06-05,"Lê Trọng tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","35 m²","9 m","4 m","54,29 triệu/m²"
"2479",2021-06-05,"Đường Tôn Đức Thắng, Phường Thổ Quan, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Thổ Quan","Nhà ngõ, hẻm","Đã có sổ",5,"6 phòng","62 m²","12 m","5 m","80.629 đ/m²"
"2480",2021-06-05,"Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","40 m²","10 m","4 m","92,25 triệu/m²"
"2481",2021-06-05,"Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","45 m²","9 m","5 m","86,67 triệu/m²"
"2483",2021-06-05,"Đường 70, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","36 m²","10.5 m","3.5 m","54,17 triệu/m²"
"2484",2021-06-05,"Đường Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Hạ Đình","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","40 m²","12 m","3.2 m","96,25 triệu/m²"
"2485",2021-06-05,"Đường Hoàng Hoa Thám, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","40 m²","10 m","4 m","77,5 triệu/m²"
"2486",2021-06-05,"Đường Âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Nhật Tân","Nhà mặt phố, mặt tiền","Đã có sổ",4,"3 phòng","75 m²","10 m","7.5 m","100 triệu/m²"
"2487",2021-06-05,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ",3,"5 phòng","30 m²","8.5 m","3.5 m","55,33 triệu/m²"
"2488",2021-06-05,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà mặt phố, mặt tiền","Đã có sổ",6,"4 phòng","40 m²","8 m","5 m","120 triệu/m²"
"2489",2021-06-05,"Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Giáp Bát","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","54 m²","12 m","4.5 m","101,85 triệu/m²"
"2490",2021-06-05,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Nhà ngõ, hẻm","Đã có sổ",6,"5 phòng","40 m²","10 m","4 m","207,5 triệu/m²"
"2491",2021-06-05,"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ",4,"2 phòng","34 m²","11 m","3 m","67,35 triệu/m²"
"2492",2021-06-05,"Đường Ngọc Lâm||1281, Phường Ngọc Lâm, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Lâm","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","36 m²","10 m","3.6 m","88,89 triệu/m²"
"2493",2021-06-05,"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Trần Hưng Đạo","Nhà ngõ, hẻm","Đã có sổ",6,"5 phòng","60 m²","9 m","5.5 m","283,33 triệu/m²"
"2494",2021-06-05,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","35 m²","7 m","5 m","84,29 triệu/m²"
"2495",2021-06-05,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Kim Mã","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","26 m²","6 m","4.3 m","98,08 triệu/m²"
"2496",2021-06-05,"Đường Vũ Tông Phan, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Nam","Nhà mặt phố, mặt tiền","Đã có sổ",1,"1 phòng","69 m²","17 m","4 m","168,12 triệu/m²"
"2497",2021-06-05,"Đường Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ",5,"5 phòng","35 m²","10 m","3.3 m","92,86 triệu/m²"
"2498",2021-06-05,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Thượng","Nhà mặt phố, mặt tiền","Đã có sổ",4,"2 phòng","45 m²","10 m","4.5 m","177,78 triệu/m²"
"2499",2021-06-05,"Đường Vân Hồ I, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Lê Đại Hành","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","58 m²","11 m","4.5 m","163,79 triệu/m²"
"2500",2021-06-05,"Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","36 m²","6.4 m","5.5 m","76,39 triệu/m²"
"2501",2021-06-05,"Đường Ngọc Trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Đại Mỗ","Nhà ngõ, hẻm","Đã có sổ",1,"3 phòng","36 m²","8.8 m","4 m","38,06 triệu/m²"
"2502",2021-06-05,"Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","20 m²","4 m","4 m","67,5 triệu/m²"
"2503",2021-06-05,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Xuân Đỉnh","Nhà mặt phố, mặt tiền","Đã có sổ",3,"3 phòng","61 m²","15.3 m","4 m","71,31 triệu/m²"
"2504",2021-06-05,"Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Quảng An","Nhà mặt phố, mặt tiền","Đã có sổ",4,"4 phòng","56 m²","11.5 m","5 m","196,43 triệu/m²"
"2505",2021-06-05,"203, Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà mặt phố, mặt tiền","Đã có sổ",5,"2 phòng","42 m²","7 m","6 m","71,43 triệu/m²"
"2506",2021-06-05,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà ngõ, hẻm","Đã có sổ",5,"5 phòng","39 m²","10 m","3.8 m","84,62 triệu/m²"
"2507",2021-06-05,"Ngô Gia Tự, Phường Việt Hưng, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Việt Hưng","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","60 m²","15 m","4 m","98,33 triệu/m²"
"2508",2021-06-05,"Đường Mậu Lương, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","30 m²","9 m","3.5 m","70 triệu/m²"
"2509",2021-06-05,"Đường Mai Dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà phố liền kề","Đã có sổ",3,"4 phòng","109 m²","15 m","7 m","109,63 triệu/m²"
"2511",2021-06-05,"Đường Quang Lãm, Phường Phú Lương, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lương","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","34 m²","10 m","3 m","45 triệu/m²"
"2512",2021-06-05,"Đường Quang Trung, Phường Yết Kiêu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yết Kiêu","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","37 m²","9 m","4 m","98,65 triệu/m²"
"2513",2021-06-05,"Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ",4,"4 phòng","35 m²","10 m","3.5 m","67,14 triệu/m²"
"2514",2021-06-05,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","35 m²","9 m","4 m","108,57 triệu/m²"
"2515",2021-06-05,"Đường Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","33 m²","6 m","6 m","120,61 triệu/m²"
"2516",2021-06-05,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","35 m²","8 m","4.5 m","88,57 triệu/m²"
"2517",2021-06-05,"12, Trương Công Đinh, Phường Yết Kiêu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yết Kiêu","Nhà mặt phố, mặt tiền","Đã có sổ",1,"1 phòng","36 m²","10.6 m","3.3 m","127,78 triệu/m²"
"2518",2021-06-05,"Đường Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà mặt phố, mặt tiền","Đã có sổ",5,"5 phòng","57 m²","6 m","10 m","147,37 triệu/m²"
"2519",2021-06-05,"Đường Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng Hậu","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","60 m²","12 m","5 m","183,33 triệu/m²"
"2520",2021-06-05,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ",5,"6 phòng","32 m²","8 m","4 m","98,44 triệu/m²"
"2521",2021-06-05,"Đường Phạm Tuấn Tài, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Tân","Nhà mặt phố, mặt tiền","Đã có sổ",5,"6 phòng","58 m²","14 m","4 m","137,93 triệu/m²"
"2522",2021-06-05,"Đường Kim Mã, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","35 m²","6 m","6 m","112,86 triệu/m²"
"2523",2021-06-05,"Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","48 m²","12 m","4 m","125 triệu/m²"
"2524",2021-06-05,"Đường Thúy Lĩnh||1025, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ",2,"2 phòng","60 m²","12 m","5 m","50 triệu/m²"
"2525",2021-06-05,"A, Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","20 m²","6.1 m","3.3 m","70 triệu/m²"
"2526",2021-06-05,"12, Đường Xa La||1920, Phường Phúc La, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phúc La","Nhà ngõ, hẻm","Đã có sổ",2,"2 phòng","26 m²","8.6 m","3.4 m","67,31 triệu/m²"
"2527",2021-06-05,"Đường Thái Thịnh 1, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","35 m²","8.5 m","4 m","105,71 triệu/m²"
"2528",2021-06-05,"55, Đường Hoa Lâm, Phường Việt Hưng, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Việt Hưng","Nhà mặt phố, mặt tiền","Đã có sổ",5,"7 phòng","58 m²","15 m","4 m","102,59 triệu/m²"
"2529",2021-06-05,"Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ",5,"6 phòng","50 m²","112 m","4 m","81 triệu/m²"
"2530",2021-06-05,"Đường Pháo Đài Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ",5,"nhiều hơn 10 phòng","170 m²","14 m","12 m","70,59 triệu/m²"
"2531",2021-06-05,"Đường Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Kim Liên","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","50 m²","12 m","4 m","80 triệu/m²"
"2532",2021-06-05,"Đường Phạm Hùng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà ngõ, hẻm","Đã có sổ",8,"nhiều hơn 10 phòng","94 m²","15 m","6.4 m","129,79 triệu/m²"
"2533",2021-06-05,"1, Đường Vũ Trọng Phụng, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Bắc","Nhà mặt phố, mặt tiền","Đã có sổ",4,"4 phòng","38 m²","11 m","3.6 m","140,79 triệu/m²"
"2535",2021-06-05,"Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ",5,"6 phòng","70 m²","14 m","5 m","88,57 triệu/m²"
